track_name,artists,year,duration,tempo,track_genre,popularity
Call Me,Blondie,1980,3:30,130.0,rock,75
Ships,Barry Manilow,1980,3:45,85.0,soft rock,71
All Night Long,Joe Walsh,1980,4:04,125.0,rock,69
Refugee,Tom Petty and the Heartbreakers,1980,3:34,135.0,heartland rock,82
Steal Away,Robbie Dupree,1980,3:49,95.0,soft rock,75
Sexy Eyes,Dr. Hook,1980,3:39,110.0,country rock,63
"Yes, I'm Ready",Teri DeSario&KC,1980,3:56,108.0,pop,64
Still,Commodores,1980,4:04,92.0,soul,72
Stand by Me,Mickey Gilley,1980,3:20,98.0,Country,42
Heartbreaker,Pat Benatar,1980,3:25,138.0,Rock,67
Déjà Vu,Dionne Warwick,1980,4:00,88.0,Soul,51
Drivin' My Life Away,Eddie Rabbitt,1980,3:40,128.0,Country,56
Crazy Little Thing Called Love,Queen,1980,2:43,160.0,rock,80
Coming Up,Paul McCartney,1980,3:54,118.0,rock,70
Funkytown,Lipps Inc.,1980,4:59,120.0,disco,85
It's Still Rock and Roll to Me,Billy Joel,1980,4:28,134.0,rock,78
Rise,Herb Alpert,1980,4:37,100.0,jazz,68
All Out of Love,Air Supply,1980,3:48,96.0,soft rock,72
Cool Change,Little River Band,1980,3:56,110.0,soft rock,69
One Fine Day,Carole King,1980,3:00,120.0,Pop,50
Dim All the Lights,Donna Summer,1980,4:58,118.0,Disco,62
You May Be Right,Billy Joel,1980,4:00,140.0,Rock,72
Should've Never Let You Go,Neil& Dara Sedaka,1980,3:40,90.0,Pop,48
Pilot of the Airwaves,Charlie Dore,1980,4:05,135.0,Pop,57
Hurt So Bad,Linda Ronstadt,1980,3:40,80.0,Pop,59
Off the Wall,Michael Jackson,1980,4:15,116.0,Pop,78
I Pledge My Love,Peaches & Herb,1980,4:00,75.0,Soul,53
The Long Run,Eagles,1980,5:40,120.0,Rock,73
"Working My Way Back to You/Forgive Me, Girl",The Spinners,1980,4:30,110.0,soul,68
This Is It,Kenny Loggins,1980,3:54,120.0,soft rock,70
Cupid/I've Loved You for a Long Time,The Spinners,1980,4:31,110.0,soul,65
Let's Get Serious,Jermaine Jackson,1980,3:47,105.0,soul,62
Heartache Tonight,Eagles,1980,4:22,128.0,rock,74
Tired of Toein' the Line,Rocky Burnette,1980,3:21,120.0,rockabilly,64
Better Love Next Time,Dr. Hook,1980,3:14,115.0,country rock,63
Him,Rupert Holmes,1980,3:26,92.0,pop,60
Escape (The Piña Colada Song),Rupert Holmes,1980,4:37,115.0,pop,88
Too Hot,Unknown,1980,3:21,108.0,r&b,55
Take Your Time (Do It Right),The S.O.S. Band,1980,3:53,105.0,funk,69
