track_name,artists,year,region,country_code
No.,Title,1980,US,US
Call Me,Blondie,1980,US,US
"Another Brick in the Wall, Part II",Pink Floyd,1980,US,US
Magic,Olivia Newton-John,1980,US,US
Rock with You,Michael Jackson,1980,US,US
Do That to Me One More Time,Captain & Tennille,1980,US,US
Crazy Little Thing Called Love,Queen,1980,US,US
Coming Up,Paul McCartney,1980,US,US
Funkytown,Lipps Inc.,1980,US,US
It's Still Rock and Roll to Me,Billy Joel,1980,US,US
The Rose,Bette Midler,1980,US,US
Escape (The Piña Colada Song),Rupert Holmes,1980,US,US
Cars,Gary Numan,1980,US,US
Cruisin,Smokey Robinson,1980,US,US
"Working My Way Back to You/Forgive Me, Girl",The Spinners,1980,US,US
Lost in Love,Air Supply,1980,US,US
Little Jeannie,Elton John,1980,US,US
Ride Like the Wind,Christopher Cross,1980,US,US
Upside Down,Diana Ross,1980,US,US
Please Don't Go,KC and the Sunshine Band,1980,US,US
Babe,Styx,1980,US,US
With You I'm Born Again,Billy PrestonandSyreeta,1980,US,US
Shining Star,The Manhattans,1980,US,US
Still,Commodores,1980,US,US
"Yes, I'm Ready",Teri DeSario&KC,1980,US,US
Sexy Eyes,Dr. Hook,1980,US,US
Steal Away,Robbie Dupree,1980,US,US
Biggest Part of Me,Ambrosia,1980,US,US
This Is It,Kenny Loggins,1980,US,US
Cupid/I've Loved You for a Long Time,The Spinners,1980,US,US
Let's Get Serious,Jermaine Jackson,1980,US,US
Don't Fall in Love with a Dreamer,Kenny Rogers&Kim Carnes,1980,US,US
Sailing,Christopher Cross,1980,US,US
Longer,Dan Fogelberg,1980,US,US
Coward of the County,Kenny Rogers,1980,US,US
Ladies' Night,Kool & the Gang,1980,US,US
Take Your Time (Do It Right),The S.O.S. Band,1980,US,US
No More Tears (Enough Is Enough),Barbra Streisand&Donna Summer,1980,US,US
More Love,Kim Carnes,1980,US,US
Pop Muzik,M,1980,US,US
Brass in Pocket,The Pretenders,1980,US,US
Special Lady,"Ray, Goodman & Brown",1980,US,US
Send One Your Love,Stevie Wonder,1980,US,US
The Second Time Around,Shalamar,1980,US,US
We Don't Talk Anymore,Cliff Richard,1980,US,US
Stomp!,The Brothers Johnson,1980,US,US
Heartache Tonight,Eagles,1980,US,US
Tired of Toein' the Line,Rocky Burnette,1980,US,US
Better Love Next Time,Dr. Hook,1980,US,US
Him,Rupert Holmes,1980,US,US
Against the Wind,Bob Seger and the Silver Bullet Band,1980,US,US
On the Radio,Donna Summer,1980,US,US
Emotional Rescue,The Rolling Stones,1980,US,US
Rise,Herb Alpert,1980,US,US
All Out of Love,Air Supply,1980,US,US
Cool Change,Little River Band,1980,US,US
You're Only Lonely,JD Souther,1980,US,US
Desire,Andy Gibb,1980,US,US
Let My Love Open the Door,Pete Townshend,1980,US,US
Romeo's Tune,Steve Forbert,1980,US,US
Daydream Believer,Anne Murray,1980,US,US
I Can't Tell You Why,Eagles,1980,US,US
Don't Let Go,Isaac Hayes,1980,US,US
Don't Do Me Like That,Tom Petty and the Heartbreakers,1980,US,US
She's Out of My Life,Michael Jackson,1980,US,US
Fame,Irene Cara,1980,US,US
Fire Lake,Bob Seger and the Silver Bullet Band,1980,US,US
How Do I Make You,Linda Ronstadt,1980,US,US
Into the Night,Benny Mardones,1980,US,US
Let Me Love You Tonight,Pure Prairie League,1980,US,US
Misunderstanding,Genesis,1980,US,US
An American Dream,The Dirt Band,1980,US,US
One Fine Day,Carole King,1980,US,US
Dim All the Lights,Donna Summer,1980,US,US
You May Be Right,Billy Joel,1980,US,US
Should've Never Let You Go,Neil& Dara Sedaka,1980,US,US
Pilot of the Airwaves,Charlie Dore,1980,US,US
Hurt So Bad,Linda Ronstadt,1980,US,US
Off the Wall,Michael Jackson,1980,US,US
I Pledge My Love,Peaches & Herb,1980,US,US
The Long Run,Eagles,1980,US,US
Stand by Me,Mickey Gilley,1980,US,US
Heartbreaker,Pat Benatar,1980,US,US
Déjà Vu,Dionne Warwick,1980,US,US
Drivin' My Life Away,Eddie Rabbitt,1980,US,US
Take the Long Way Home,Supertramp,1980,US,US
Sara,Fleetwood Mac,1980,US,US
Wait for Me,Daryl Hall & John Oates,1980,US,US
Jojo,Boz Scaggs,1980,US,US
September Morn,Neil Diamond,1980,US,US
Give Me the Night,George Benson,1980,US,US
Broken Hearted Me,Anne Murray,1980,US,US
You Decorated My Life,Kenny Rogers,1980,US,US
Tusk,Fleetwood Mac,1980,US,US
I Wanna Be Your Lover,Prince,1980,US,US
In America,Charlie Daniels Band,1980,US,US
Breakdown Dead Ahead,Boz Scaggs,1980,US,US
Ships,Barry Manilow,1980,US,US
All Night Long,Joe Walsh,1980,US,US
Refugee,Tom Petty and the Heartbreakers,1980,US,US
No.,Title,1981,US,US
Bette Davis Eyes,Kim Carnes,1981,US,US
Endless Love,Diana Ross&Lionel Richie,1981,US,US
Lady,Kenny Rogers,1981,US,US
(Just Like) Starting Over,John Lennon,1981,US,US
Jessie's Girl,Rick Springfield,1981,US,US
Celebration,Kool & the Gang,1981,US,US
Kiss on My List,Daryl Hall & John Oates,1981,US,US
I Love a Rainy Night,Eddie Rabbitt,1981,US,US
9 To 5,Dolly Parton,1981,US,US
Keep on Loving You,REO Speedwagon,1981,US,US
Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,1981,US,US
Morning Train (Nine to Five),Sheena Easton,1981,US,US
Being with You,Smokey Robinson,1981,US,US
Queen of Hearts,Juice Newton,1981,US,US
Rapture,Blondie,1981,US,US
A Woman Needs Love (Just Like You Do),Raydio,1981,US,US
The Tide Is High,Blondie,1981,US,US
Just the Two of Us,"Grover Washington, Jr.&Bill Withers",1981,US,US
Slow Hand,The Pointer Sisters,1981,US,US
I Love You,Climax Blues Band,1981,US,US
Woman,John Lennon,1981,US,US
Sukiyaki,A Taste of Honey,1981,US,US
The Winner Takes It All,ABBA,1981,US,US
Stars on 45 Medley,Stars on 45,1981,US,US
Angel of the Morning,Juice Newton,1981,US,US
Love on the Rocks,Neil Diamond,1981,US,US
Every Woman in the World,Air Supply,1981,US,US
Guilty,Barbra Streisand&Barry Gibb,1981,US,US
The Best of Times,Styx,1981,US,US
Elvira,The Oak Ridge Boys,1981,US,US
Take It on the Run,REO Speedwagon,1981,US,US
(There's) No Gettin' Over Me,Ronnie Milsap,1981,US,US
Living Inside Myself,Gino Vannelli,1981,US,US
Woman in Love,Barbra Streisand,1981,US,US
The Boy from New York City,The Manhattan Transfer,1981,US,US
Urgent,Foreigner,1981,US,US
Passion,Rod Stewart,1981,US,US
Lady (You Bring Me Up),Commodores,1981,US,US
Crying,Don McLean,1981,US,US
Hearts,Marty Balin,1981,US,US
It's My Turn,Diana Ross,1981,US,US
You Make My Dreams,Daryl Hall & John Oates,1981,US,US
I Don't Need You,Kenny Rogers,1981,US,US
How 'Bout Us,Champaign,1981,US,US
Hit Me with Your Best Shot,Pat Benatar,1981,US,US
The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,1981,US,US
Time,The Alan Parsons Project,1981,US,US
Hungry Heart,Bruce Springsteen,1981,US,US
Sweetheart,Franke and the Knockouts,1981,US,US
Somebody's Knockin',Terri Gibbs,1981,US,US
More Than I Can Say,Leo Sayer,1981,US,US
Together,Tierra,1981,US,US
Too Much Time on My Hands,Styx,1981,US,US
What Are We Doin' in Love,Dottie West&Kenny Rogers,1981,US,US
Who's Crying Now,Journey,1981,US,US
"De Do Do Do, De Da Da Da",The Police,1981,US,US
This Little Girl,Gary U.S. Bonds,1981,US,US
Stop Draggin' My Heart Around,Stevie Nicks&Tom Petty,1981,US,US
Giving It Up for Your Love,Delbert McClinton,1981,US,US
A Little in Love,Cliff Richard,1981,US,US
America,Neil Diamond,1981,US,US
Ain't Even Done with the Night,John Cougar,1981,US,US
Arthur's Theme (Best That You Can Do),Christopher Cross,1981,US,US
Another One Bites the Dust,Queen,1981,US,US
Games People Play,The Alan Parsons Project,1981,US,US
I Can't Stand It,Eric Clapton,1981,US,US
While You See a Chance,Steve Winwood,1981,US,US
Master Blaster (Jammin'),Stevie Wonder,1981,US,US
Hello Again,Neil Diamond,1981,US,US
Don't Stand So Close to Me,The Police,1981,US,US
Hey Nineteen,Steely Dan,1981,US,US
I Ain't Gonna Stand for It,Stevie Wonder,1981,US,US
All Those Years Ago,George Harrison,1981,US,US
Step By Step,Eddie Rabbitt,1981,US,US
The Stroke,Billy Squier,1981,US,US
Feels So Right,Alabama,1981,US,US
Sweet Baby,Stanley Clarke&George Duke,1981,US,US
Same Old Lang Syne,Dan Fogelberg,1981,US,US
Cool Love,Pablo Cruise,1981,US,US
Hold On Tight,Electric Light Orchestra,1981,US,US
It's Now or Never,John Schneider,1981,US,US
Treat Me Right,Pat Benatar,1981,US,US
Winning,Santana,1981,US,US
What Kind of Fool,Barbra Streisand&Barry Gibb,1981,US,US
Watching the Wheels,John Lennon,1981,US,US
Tell It Like It Is,Heart,1981,US,US
Smoky Mountain Rain,Ronnie Milsap,1981,US,US
I Made It Through the Rain,Barry Manilow,1981,US,US
You've Lost That Lovin' Feelin',Daryl Hall & John Oates,1981,US,US
Suddenly,Olivia Newton-John&Cliff Richard,1981,US,US
